@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R2'

@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {0,1,2,3,4}
@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}

@data
6,0,1,2,0,1,0,0,45,0,0,51,Private
8,1,7,5,0,0,0,0,50,0,0,35,Private
13,0,5,0,0,0,5013,0,20,0,0,28,Private
12,2,12,3,1,0,0,0,50,0,0,32,Local-gov
8,2,8,3,0,1,0,0,40,0,1,37,Federal-gov
9,0,12,2,0,1,0,0,46,0,1,29,Federal-gov
13,2,2,3,0,0,0,0,32,0,0,24,Private
13,0,12,2,1,1,0,0,50,15,0,53,Local-gov
8,2,6,1,0,1,0,0,40,0,0,22,Private
8,1,1,3,0,1,0,0,40,0,0,31,Private
2,2,10,3,0,1,0,0,30,36,0,31,Private
8,2,3,4,4,1,0,0,40,18,0,23,Private
13,0,9,2,0,1,0,0,20,0,0,63,Self-emp-not-inc
12,1,5,3,0,0,0,0,40,0,0,55,Private
13,0,4,2,0,1,15024,0,65,0,1,35,Private
8,0,1,2,0,1,0,0,50,0,1,29,Private
8,1,2,3,0,0,0,0,40,0,0,50,Private
15,0,5,2,0,1,0,0,55,0,1,50,Private
13,2,4,3,0,1,0,0,50,0,0,32,Private
8,2,1,4,0,1,0,0,15,0,0,23,Private
6,2,9,5,0,1,0,0,40,0,0,33,Self-emp-not-inc
4,0,1,2,0,1,0,0,40,0,0,30,Private
13,2,3,3,0,1,0,0,60,0,0,26,Self-emp-not-inc
9,0,8,2,0,1,0,0,40,0,1,24,Private
13,0,5,2,0,1,0,0,40,16,1,42,Private
14,2,5,3,0,0,0,0,60,0,1,36,Self-emp-not-inc
8,2,1,4,0,1,0,0,40,0,0,42,Private
15,2,4,3,0,1,13550,0,50,0,1,50,Private
8,0,6,2,0,1,0,0,40,0,1,35,Private
7,1,7,5,1,0,0,0,40,10,0,44,Private
