@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {0,1,2,3,4}
@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}

@data
0,1,2,0,1,0,0,45,0,0,51,0,11th
1,7,5,0,0,0,0,50,0,0,35,0,HS-grad
0,5,0,0,0,5013,0,20,0,0,28,0,Bachelors
2,12,3,1,0,0,0,50,0,0,32,4,Assoc-voc
2,8,3,0,1,0,0,40,0,1,37,3,HS-grad
0,12,2,0,1,0,0,46,0,1,29,3,Some-college
2,2,3,0,0,0,0,32,0,0,24,0,Bachelors
0,12,2,1,1,0,0,50,15,0,53,4,Bachelors
2,6,1,0,1,0,0,40,0,0,22,0,HS-grad
1,1,3,0,1,0,0,40,0,0,31,0,HS-grad
2,10,3,0,1,0,0,30,36,0,31,0,5th-6th
2,3,4,4,1,0,0,40,18,0,23,0,HS-grad
0,9,2,0,1,0,0,20,0,0,63,1,Bachelors
1,5,3,0,0,0,0,40,0,0,55,0,Assoc-voc
0,4,2,0,1,15024,0,65,0,1,35,0,Bachelors
0,1,2,0,1,0,0,50,0,1,29,0,HS-grad
1,2,3,0,0,0,0,40,0,0,50,0,HS-grad
0,5,2,0,1,0,0,55,0,1,50,0,Doctorate
2,4,3,0,1,0,0,50,0,0,32,0,Bachelors
2,1,4,0,1,0,0,15,0,0,23,0,HS-grad
2,9,5,0,1,0,0,40,0,0,33,1,11th
0,1,2,0,1,0,0,40,0,0,30,0,9th
2,3,3,0,1,0,0,60,0,0,26,1,Bachelors
0,8,2,0,1,0,0,40,0,1,24,0,Some-college
0,5,2,0,1,0,0,40,16,1,42,0,Bachelors
2,5,3,0,0,0,0,60,0,1,36,1,Masters
2,1,4,0,1,0,0,40,0,0,42,0,HS-grad
2,4,3,0,1,13550,0,50,0,1,50,0,Doctorate
