@relation adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4

@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {0,1,2,3,4}
@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {<=50K,>50K}

@data
51,0,6,0,1,2,0,1,0,0,45,0,<=50K
35,0,8,1,7,5,0,0,0,0,50,0,<=50K
28,0,13,0,5,0,0,0,5013,0,20,0,<=50K
32,4,12,2,12,3,1,0,0,0,50,0,<=50K
37,3,8,2,8,3,0,1,0,0,40,0,>50K
29,3,9,0,12,2,0,1,0,0,46,0,>50K
24,0,13,2,2,3,0,0,0,0,32,0,<=50K
53,4,13,0,12,2,1,1,0,0,50,15,<=50K
22,0,8,2,6,1,0,1,0,0,40,0,<=50K
31,0,8,1,1,3,0,1,0,0,40,0,<=50K
31,0,2,2,10,3,0,1,0,0,30,36,<=50K
23,0,8,2,3,4,4,1,0,0,40,18,<=50K
63,1,13,0,9,2,0,1,0,0,20,0,<=50K
55,0,12,1,5,3,0,0,0,0,40,0,<=50K
35,0,13,0,4,2,0,1,15024,0,65,0,>50K
29,0,8,0,1,2,0,1,0,0,50,0,>50K
50,0,8,1,2,3,0,0,0,0,40,0,<=50K
50,0,15,0,5,2,0,1,0,0,55,0,>50K
32,0,13,2,4,3,0,1,0,0,50,0,<=50K
23,0,8,2,1,4,0,1,0,0,15,0,<=50K
33,1,6,2,9,5,0,1,0,0,40,0,<=50K
30,0,4,0,1,2,0,1,0,0,40,0,<=50K
26,1,13,2,3,3,0,1,0,0,60,0,<=50K
24,0,9,0,8,2,0,1,0,0,40,0,>50K
42,0,13,0,5,2,0,1,0,0,40,16,>50K
36,1,14,2,5,3,0,0,0,0,60,0,>50K
42,0,8,2,1,4,0,1,0,0,40,0,<=50K
50,0,15,2,4,3,0,1,13550,0,50,0,>50K
35,0,8,0,6,2,0,1,0,0,40,0,>50K
44,0,7,1,7,5,1,0,0,0,40,10,<=50K
37,0,13,2,8,4,0,0,0,0,40,0,<=50K
26,0,9,2,3,1,0,0,0,0,40,0,<=50K
48,0,8,2,2,3,0,1,0,0,40,3,<=50K
27,0,9,2,7,5,4,1,0,0,40,0,<=50K
51,3,9,0,4,2,0,1,0,0,40,0,>50K
23,0,12,2,8,1,0,0,0,0,40,5,<=50K
36,0,8,5,2,3,4,1,0,0,40,0,<=50K
42,0,9,0,1,2,2,1,5178,0,50,0,>50K
34,0,11,0,5,2,4,1,0,0,50,0,>50K
42,1,13,0,4,2,0,1,0,0,45,0,>50K
20,4,9,2,6,3,0,1,0,0,40,0,<=50K
42,0,9,0,3,2,0,1,5178,0,40,0,>50K
35,0,8,2,1,4,3,1,0,0,40,3,<=50K
17,0,6,2,2,1,0,1,2176,0,20,0,<=50K
21,1,8,2,9,1,1,1,0,0,35,0,<=50K
50,0,15,0,5,2,0,1,0,0,40,0,>50K
51,2,9,0,1,2,0,1,0,0,60,0,<=50K
77,4,9,0,12,2,0,1,0,0,20,0,<=50K
33,0,8,0,7,2,0,1,0,0,40,0,<=50K
46,0,8,0,4,2,4,1,0,0,40,0,>50K
61,0,13,0,4,2,0,1,0,0,50,0,>50K
35,5,11,0,5,2,0,1,0,0,65,0,<=50K
43,2,13,0,4,2,0,1,0,0,40,0,>50K
20,0,9,2,3,1,0,0,2597,0,20,0,<=50K
31,0,13,1,0,5,0,0,0,0,40,0,<=50K
23,4,13,2,5,3,0,0,0,0,10,0,<=50K
51,0,14,0,5,2,0,1,0,1740,40,0,<=50K
34,0,12,2,4,5,2,0,0,0,40,0,<=50K
49,1,8,0,4,2,0,1,0,0,50,0,<=50K
36,4,8,3,8,5,4,0,0,0,40,0,<=50K
24,0,8,2,6,3,0,1,0,0,40,0,<=50K
44,0,13,1,3,5,0,0,0,0,75,0,<=50K
45,0,8,1,9,5,4,0,0,0,39,0,<=50K
27,0,8,2,0,3,0,1,0,0,45,0,<=50K
21,0,8,0,8,0,0,0,0,0,43,0,>50K
33,0,8,2,2,3,0,1,0,0,40,0,<=50K
58,0,2,0,7,2,4,1,0,0,48,0,<=50K
42,5,9,0,9,2,0,1,0,0,40,0,<=50K
21,0,9,2,6,5,0,1,0,0,40,0,<=50K
24,0,9,2,7,3,0,1,0,0,42,0,<=50K
41,0,1,0,2,2,0,1,0,0,43,20,<=50K
69,0,9,0,5,2,0,1,0,0,40,0,>50K
28,1,9,2,5,1,0,1,0,0,30,0,<=50K
36,0,8,3,3,3,0,0,0,0,40,0,<=50K
33,0,8,0,6,2,2,1,0,0,40,0,<=50K
24,0,13,2,4,3,0,1,0,0,40,0,<=50K
18,0,8,2,2,3,0,0,0,0,30,0,<=50K
29,0,9,0,1,2,0,1,0,0,50,0,<=50K
24,0,9,2,3,4,1,1,0,0,20,7,<=50K
26,0,8,2,8,3,0,0,0,0,40,0,<=50K
47,0,15,1,5,5,0,0,0,0,29,0,<=50K
67,0,8,4,8,3,0,0,0,0,40,0,<=50K
22,0,9,2,0,1,0,1,0,0,40,0,<=50K
46,1,4,0,10,2,0,1,0,0,40,0,<=50K
30,5,13,0,4,2,0,1,0,0,40,0,>50K
33,0,13,2,5,3,0,0,0,0,40,4,<=50K
26,0,13,2,5,3,0,0,0,0,50,0,<=50K
31,0,8,1,3,3,0,0,0,0,34,0,<=50K
26,0,8,2,2,3,0,0,0,1762,40,0,<=50K
50,4,11,0,12,2,0,1,0,1977,40,0,>50K
53,2,10,0,5,2,1,1,7298,0,50,34,>50K
48,0,13,0,1,2,0,1,99999,0,40,0,>50K
59,0,8,0,10,2,0,1,0,0,55,0,<=50K
54,0,3,1,7,3,4,1,0,0,40,0,<=50K
55,0,9,1,8,3,0,0,0,0,40,0,<=50K
40,0,8,0,4,2,0,1,0,0,40,0,>50K
47,0,13,2,4,3,0,0,0,0,50,0,<=50K
19,0,9,2,3,1,0,0,0,0,25,0,<=50K
44,0,8,5,8,5,0,0,0,0,40,0,<=50K
58,0,8,4,4,3,0,1,0,0,55,0,>50K
26,0,13,2,12,4,0,1,0,0,45,0,<=50K
31,2,11,0,1,2,0,1,0,1579,45,0,<=50K
28,1,5,2,3,1,0,1,0,0,80,0,<=50K
27,0,8,1,2,5,4,0,0,0,40,0,<=50K
56,1,14,0,3,0,0,0,0,0,70,0,<=50K
44,0,8,0,10,2,0,1,0,0,40,0,<=50K
26,0,9,1,8,5,0,0,0,0,18,0,<=50K
51,0,8,1,3,5,0,1,0,0,16,0,<=50K
34,0,9,0,1,2,0,1,0,0,48,0,>50K
50,1,14,0,4,2,0,1,0,0,20,0,<=50K
67,5,13,0,5,2,1,1,0,0,12,0,<=50K
27,0,9,2,5,3,0,1,0,0,40,0,<=50K
27,0,13,2,0,3,0,1,0,1340,40,0,<=50K
23,0,5,2,6,1,0,1,0,0,40,20,<=50K
61,0,8,0,1,2,0,1,0,0,40,0,>50K
49,0,13,0,4,2,0,1,0,0,46,0,>50K
43,4,14,5,5,5,0,0,7430,0,60,0,>50K
62,1,8,0,10,2,0,1,0,0,30,0,<=50K
69,2,8,0,3,2,0,1,0,0,30,0,<=50K
37,2,10,0,5,2,0,1,0,0,60,0,>50K
39,1,9,0,1,2,0,1,5178,0,40,0,>50K
43,2,11,2,4,3,0,1,27828,0,45,0,>50K
35,0,13,0,8,2,0,1,0,0,40,0,<=50K
30,0,13,0,9,2,0,1,0,0,40,0,<=50K
59,2,13,0,5,2,0,1,0,0,20,0,>50K
39,2,9,0,4,2,0,1,0,0,84,0,>50K
23,0,13,2,5,1,0,1,13550,0,50,0,>50K
41,0,8,2,7,1,0,1,14344,0,48,0,>50K
21,0,13,2,3,1,4,0,0,0,30,0,<=50K
53,0,6,0,1,2,0,1,0,0,45,0,<=50K
33,4,13,2,5,3,0,0,0,0,20,0,<=50K
25,0,8,2,3,3,0,0,0,0,35,0,<=50K
34,0,8,2,10,1,4,1,0,0,40,0,<=50K
26,0,8,1,8,3,0,0,0,0,62,0,<=50K
59,0,8,1,8,3,4,1,0,0,40,0,<=50K
20,0,8,2,11,1,0,0,0,0,40,0,<=50K
23,0,8,2,9,3,0,1,0,0,45,0,<=50K
33,0,13,0,3,2,0,1,0,0,80,29,>50K
23,0,9,3,2,1,0,1,0,0,40,0,<=50K
32,0,8,2,7,1,0,1,0,0,40,0,<=50K
30,0,8,0,1,2,0,1,0,0,45,0,>50K
29,0,13,0,5,2,0,1,0,0,50,0,>50K
31,1,8,2,1,3,0,1,0,0,45,0,<=50K
35,0,12,0,1,2,0,1,0,0,40,0,>50K
34,3,8,1,2,3,0,0,0,0,40,0,<=50K
30,5,8,0,8,2,0,1,0,0,40,0,<=50K
41,0,9,0,1,2,0,1,0,0,40,0,<=50K
56,0,9,0,4,2,0,1,0,0,54,0,>50K
53,1,8,0,1,2,0,1,0,0,40,35,>50K
56,0,8,0,1,2,4,1,0,0,52,0,>50K
17,0,5,2,2,1,0,0,0,0,8,0,<=50K
24,0,11,0,2,2,0,1,0,0,40,0,<=50K
24,0,4,5,3,3,0,0,0,0,35,0,<=50K
26,0,12,0,3,2,0,1,3103,0,45,0,>50K
26,0,14,2,4,3,0,1,0,0,60,0,<=50K
59,5,13,0,5,2,0,1,3103,0,40,0,>50K
44,3,8,0,10,2,4,1,0,0,60,0,<=50K
38,0,9,1,0,5,0,0,0,1726,40,0,<=50K
25,0,9,2,7,3,0,1,0,0,40,0,<=50K
52,4,14,0,4,2,0,1,0,0,50,0,>50K
37,0,9,0,1,2,0,1,0,0,40,0,<=50K
33,0,9,0,4,2,0,1,0,0,60,0,>50K
28,0,9,3,8,3,0,1,0,0,40,0,<=50K
19,3,9,2,8,1,4,0,0,1602,20,0,<=50K
46,0,9,1,4,3,0,0,0,0,40,0,<=50K
30,4,8,0,2,2,0,1,0,0,40,0,<=50K
33,0,13,2,5,1,0,0,0,0,40,0,>50K
48,0,5,2,11,4,0,0,0,0,40,0,<=50K
51,0,8,0,6,2,0,1,0,1902,42,0,>50K
34,2,13,0,4,2,0,1,0,0,50,0,>50K
39,0,8,0,6,2,0,1,0,0,40,0,>50K
68,1,2,0,1,2,4,1,0,0,6,0,<=50K
28,0,9,0,6,2,0,1,0,0,40,0,<=50K
90,0,8,2,8,3,0,0,0,0,40,0,>50K
42,0,13,0,10,2,0,1,0,0,40,0,<=50K
43,3,9,0,0,2,0,1,0,0,75,0,>50K
57,0,12,2,2,1,0,0,0,0,40,0,<=50K
28,0,13,0,5,2,0,1,3103,0,40,0,>50K
36,0,3,0,6,2,0,1,0,0,40,36,<=50K
31,0,8,2,4,3,0,1,0,0,50,0,<=50K
27,5,9,2,1,4,0,1,0,0,40,0,<=50K
21,0,8,2,7,1,0,1,0,0,40,0,<=50K
41,0,9,0,8,0,0,0,0,0,35,0,<=50K
21,0,8,2,8,1,0,0,0,0,40,20,<=50K
59,0,5,0,6,2,0,1,0,0,40,0,<=50K
19,0,8,2,6,1,0,1,0,0,40,0,<=50K
32,0,8,0,1,2,0,1,0,0,45,0,<=50K
38,0,13,0,4,2,1,1,0,0,60,0,>50K
58,2,13,0,3,2,0,1,0,0,70,0,>50K
21,0,8,2,8,1,0,0,0,0,40,0,<=50K
37,3,14,2,5,3,0,1,0,1876,40,0,<=50K
47,0,8,1,8,5,0,0,0,0,40,0,<=50K
31,0,9,1,7,5,0,0,0,0,55,0,>50K
44,0,12,4,4,5,0,0,0,0,30,0,<=50K
50,0,9,1,4,3,0,0,0,0,40,0,<=50K
29,0,8,5,10,3,4,1,0,0,49,28,<=50K
59,1,13,0,4,2,0,1,0,0,25,0,<=50K
27,0,11,2,4,3,0,0,0,0,40,0,<=50K
22,0,12,2,3,1,0,0,0,0,20,0,<=50K
31,0,9,1,2,3,0,0,0,0,40,0,<=50K
53,3,8,0,8,2,0,1,7298,0,40,0,>50K
35,0,13,0,4,2,0,1,15024,0,50,0,>50K
47,0,8,0,8,0,0,0,0,0,40,0,>50K
47,0,13,0,4,2,0,1,0,0,45,2,>50K
25,0,13,2,2,1,0,0,2463,0,30,0,<=50K
46,5,13,0,1,2,0,1,0,0,40,0,<=50K
77,1,3,0,9,2,0,1,0,0,40,0,<=50K
35,1,13,0,1,2,0,1,0,0,7,0,<=50K
29,0,8,0,8,2,0,1,0,0,35,0,<=50K
25,0,8,2,10,3,1,1,0,0,40,19,<=50K
18,0,6,2,3,5,0,1,0,0,20,0,<=50K
38,0,13,0,4,2,0,1,0,0,60,0,<=50K
37,1,10,2,5,3,0,1,0,0,55,0,>50K
43,0,8,0,10,2,0,1,0,0,60,0,<=50K
48,0,8,0,0,2,0,1,0,0,40,0,<=50K
24,0,12,1,0,3,0,0,0,0,40,0,<=50K
22,0,8,2,3,1,0,0,0,0,36,0,<=50K
25,0,5,2,7,3,0,1,0,0,40,0,<=50K
22,0,11,2,8,1,1,0,0,2205,30,15,<=50K
21,0,9,2,0,1,4,0,0,0,4,0,<=50K
36,0,11,0,4,2,0,1,7688,0,44,0,>50K
50,0,14,0,4,2,0,1,0,0,55,0,>50K
28,0,9,1,1,3,0,1,0,0,40,0,<=50K
33,5,13,1,5,3,0,0,0,1092,40,0,<=50K
48,0,13,1,0,1,0,0,0,0,40,0,<=50K
64,0,8,0,10,2,0,1,10566,0,40,0,<=50K
21,0,13,2,8,1,4,0,0,0,38,0,<=50K
22,0,8,2,2,3,4,1,0,0,70,0,<=50K
24,0,7,2,1,3,0,1,0,0,40,0,<=50K
40,2,11,0,4,2,0,1,0,0,65,0,>50K
23,0,8,2,2,1,0,1,0,0,40,0,<=50K
30,0,10,2,5,3,0,1,0,0,50,0,>50K
23,0,9,2,2,3,0,0,0,0,20,0,<=50K
31,1,13,0,9,2,0,1,0,0,70,0,<=50K
38,0,8,0,1,2,0,1,15024,0,45,0,>50K
41,4,13,3,5,5,0,0,0,0,10,0,<=50K
46,4,13,0,5,0,0,0,0,0,40,0,>50K
49,0,13,0,5,0,0,0,0,2415,3,0,>50K
50,0,11,1,1,5,0,1,0,0,40,0,<=50K
33,0,14,2,3,3,0,0,0,0,40,0,<=50K
27,0,8,1,10,4,0,1,0,0,40,0,<=50K
47,0,9,0,0,2,4,1,4064,0,40,0,<=50K
47,2,13,0,5,2,0,1,0,0,60,0,>50K
43,1,11,0,1,2,0,1,0,0,20,0,<=50K
45,0,8,0,1,2,0,1,0,0,50,0,>50K
53,2,11,0,10,2,0,1,0,0,45,0,>50K
67,0,9,0,3,2,0,1,6767,0,40,0,<=50K
42,3,12,1,4,5,0,1,0,323,40,0,<=50K
37,3,14,2,4,3,0,0,27828,0,50,0,>50K
33,0,13,0,3,2,0,1,0,0,40,0,<=50K
53,0,8,1,1,4,0,1,0,0,40,0,<=50K
47,4,13,0,5,2,0,1,7298,0,40,0,>50K
36,0,8,0,7,2,0,1,0,0,45,20,<=50K
24,0,13,2,0,3,0,0,0,0,40,0,<=50K
30,0,8,0,7,4,0,1,0,2057,48,0,<=50K
40,0,8,0,1,2,0,1,0,0,60,0,>50K
28,0,9,2,8,5,0,0,0,0,45,8,<=50K
42,1,14,2,5,3,0,1,0,0,45,0,<=50K
19,0,9,2,2,1,0,1,0,0,20,0,<=50K
44,1,9,0,3,2,0,1,0,0,25,0,<=50K
19,0,6,2,2,1,0,0,0,0,28,0,<=50K
48,0,14,1,5,3,0,1,0,0,25,0,<=50K
30,0,6,2,3,5,0,0,0,0,8,0,<=50K
18,0,8,2,2,1,0,1,0,0,15,0,<=50K
40,4,13,0,5,0,0,0,0,0,20,0,<=50K
51,0,5,4,3,5,0,0,0,0,40,0,<=50K
50,2,11,0,5,2,0,1,0,0,48,0,>50K
34,1,8,0,9,2,0,1,0,0,50,0,<=50K
21,0,9,2,6,1,1,1,0,0,40,15,<=50K
42,0,9,0,1,2,0,1,0,1887,40,0,>50K
49,3,8,0,10,2,1,1,0,0,40,15,<=50K
26,0,9,0,7,2,2,1,0,0,40,0,<=50K
36,0,8,0,1,2,0,1,0,0,40,0,<=50K
34,5,13,2,8,3,4,0,3325,0,40,0,<=50K
17,0,6,2,3,1,0,0,0,0,24,0,<=50K
25,4,13,2,5,1,0,0,0,0,40,0,<=50K
28,5,14,2,5,3,0,1,0,0,50,0,<=50K
44,1,7,0,4,2,0,1,0,0,55,0,>50K
20,0,7,2,8,1,0,0,0,0,20,0,<=50K
50,0,13,0,1,2,1,1,0,0,20,15,<=50K
31,3,12,0,6,2,0,1,0,0,40,0,<=50K
25,0,8,2,6,4,4,0,0,0,43,0,<=50K
21,0,13,0,3,4,0,0,0,0,35,0,<=50K
59,4,6,0,2,2,0,1,0,0,40,0,<=50K
33,1,14,0,5,0,0,0,0,0,8,0,<=50K
37,0,11,1,8,3,0,0,0,1504,40,0,<=50K
31,5,12,0,3,2,0,1,0,0,40,0,>50K
44,0,11,0,1,2,0,1,0,0,40,0,>50K
40,1,13,1,2,5,0,0,0,0,20,0,<=50K
47,4,9,0,12,2,0,1,0,0,44,0,<=50K
33,4,8,0,1,2,0,1,0,0,50,0,>50K
27,0,6,2,2,1,3,1,0,0,40,0,<=50K
51,0,8,0,10,2,0,1,5013,0,40,0,<=50K
70,2,13,1,3,3,0,0,0,0,40,0,<=50K
40,0,9,1,7,3,4,1,0,0,40,0,<=50K
45,5,9,0,12,2,0,1,0,0,40,0,>50K
44,1,10,0,5,2,0,1,0,1977,50,0,>50K
46,0,8,0,2,2,0,1,0,0,40,0,<=50K
40,1,9,0,1,2,0,1,0,0,45,0,<=50K
59,2,8,0,3,2,0,1,0,0,50,0,>50K
63,2,2,0,3,2,0,1,0,0,25,0,<=50K
31,0,6,0,12,2,0,1,0,0,40,0,<=50K
28,0,9,0,4,2,0,1,0,1848,50,0,>50K
54,0,8,0,1,2,0,1,0,0,40,0,<=50K
42,0,8,0,10,2,0,1,0,0,99,0,<=50K
36,0,8,1,10,5,0,1,0,0,40,0,<=50K
52,0,5,2,7,3,0,1,0,0,40,0,<=50K
35,0,11,2,7,3,0,1,0,0,55,0,<=50K
39,0,8,0,1,2,0,1,0,0,40,0,>50K
42,0,9,1,2,3,0,0,8614,0,52,0,>50K
32,5,13,0,5,2,0,1,0,0,45,0,>50K
29,0,8,2,6,3,0,1,0,0,36,0,<=50K
39,0,8,1,10,1,0,1,0,0,60,0,<=50K
40,4,14,1,5,3,0,0,0,0,50,0,<=50K
29,0,13,2,0,3,4,0,0,0,40,0,<=50K
46,0,8,1,12,3,0,1,0,0,40,12,<=50K
37,3,9,2,4,1,4,0,0,0,40,0,<=50K
53,0,8,0,4,2,0,1,0,0,40,0,<=50K
45,0,12,1,4,3,0,1,0,0,60,0,<=50K
53,4,9,1,12,3,0,1,0,0,48,0,<=50K
20,0,9,2,2,1,0,0,0,0,18,0,<=50K
58,0,8,0,8,2,0,1,0,0,40,0,<=50K
33,0,8,0,7,2,0,1,0,0,50,0,>50K
39,0,12,1,1,3,0,1,0,1721,45,0,<=50K
57,0,9,1,8,5,0,0,0,0,40,0,<=50K
46,2,14,2,4,3,0,1,0,1564,50,0,>50K
19,0,8,2,2,1,0,0,0,0,40,0,<=50K
54,2,13,0,0,2,0,1,0,0,40,0,>50K
