@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R10'

@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}

@data
1,0,0,45,0,0,51,0,6,0,1,2,White
0,0,0,50,0,0,35,0,8,1,7,5,White
0,5013,0,20,0,0,28,0,13,0,5,0,White
0,0,0,50,0,0,32,4,12,2,12,3,Asian-Pac-Islander
1,0,0,40,0,1,37,3,8,2,8,3,White
1,0,0,46,0,1,29,3,9,0,12,2,White
0,0,0,32,0,0,24,0,13,2,2,3,White
1,0,0,50,15,0,53,4,13,0,12,2,Asian-Pac-Islander
1,0,0,40,0,0,22,0,8,2,6,1,White
1,0,0,40,0,0,31,0,8,1,1,3,White
1,0,0,30,36,0,31,0,2,2,10,3,White
1,0,0,40,18,0,23,0,8,2,3,4,Black
1,0,0,20,0,0,63,1,13,0,9,2,White
0,0,0,40,0,0,55,0,12,1,5,3,White
1,15024,0,65,0,1,35,0,13,0,4,2,White
1,0,0,50,0,1,29,0,8,0,1,2,White
0,0,0,40,0,0,50,0,8,1,2,3,White
1,0,0,55,0,1,50,0,15,0,5,2,White
1,0,0,50,0,0,32,0,13,2,4,3,White
1,0,0,15,0,0,23,0,8,2,1,4,White
1,0,0,40,0,0,33,1,6,2,9,5,White
1,0,0,40,0,0,30,0,4,0,1,2,White
1,0,0,60,0,0,26,1,13,2,3,3,White
1,0,0,40,0,1,24,0,9,0,8,2,White
1,0,0,40,16,1,42,0,13,0,5,2,White
0,0,0,60,0,1,36,1,14,2,5,3,White
1,0,0,40,0,0,42,0,8,2,1,4,White
1,13550,0,50,0,1,50,0,15,2,4,3,White
1,0,0,40,0,1,35,0,8,0,6,2,White
0,0,0,40,10,0,44,0,7,1,7,5,Asian-Pac-Islander
0,0,0,40,0,0,37,0,13,2,8,4,White
0,0,0,40,0,0,26,0,9,2,3,1,White
1,0,0,40,3,0,48,0,8,2,2,3,White
1,0,0,40,0,0,27,0,9,2,7,5,Black
1,0,0,40,0,1,51,3,9,0,4,2,White
0,0,0,40,5,0,23,0,12,2,8,1,White
1,0,0,40,0,0,36,0,8,5,2,3,Black
1,5178,0,50,0,1,42,0,9,0,1,2,Amer-Indian-Eskimo
1,0,0,50,0,1,34,0,11,0,5,2,Black
1,0,0,45,0,1,42,1,13,0,4,2,White
1,0,0,40,0,0,20,4,9,2,6,3,White
1,5178,0,40,0,1,42,0,9,0,3,2,White
1,0,0,40,3,0,35,0,8,2,1,4,Other
1,2176,0,20,0,0,17,0,6,2,2,1,White
1,0,0,35,0,0,21,1,8,2,9,1,Asian-Pac-Islander
1,0,0,40,0,1,50,0,15,0,5,2,White
1,0,0,60,0,0,51,2,9,0,1,2,White
1,0,0,20,0,0,77,4,9,0,12,2,White
1,0,0,40,0,0,33,0,8,0,7,2,White
1,0,0,40,0,1,46,0,8,0,4,2,Black
1,0,0,50,0,1,61,0,13,0,4,2,White
1,0,0,65,0,0,35,5,11,0,5,2,White
1,0,0,40,0,1,43,2,13,0,4,2,White
0,2597,0,20,0,0,20,0,9,2,3,1,White
0,0,0,40,0,0,31,0,13,1,0,5,White
0,0,0,10,0,0,23,4,13,2,5,3,White
1,0,1740,40,0,0,51,0,14,0,5,2,White
0,0,0,40,0,0,34,0,12,2,4,5,Amer-Indian-Eskimo
1,0,0,50,0,0,49,1,8,0,4,2,White
0,0,0,40,0,0,36,4,8,3,8,5,Black
1,0,0,40,0,0,24,0,8,2,6,3,White
0,0,0,75,0,0,44,0,13,1,3,5,White
0,0,0,39,0,0,45,0,8,1,9,5,Black
1,0,0,45,0,0,27,0,8,2,0,3,White
0,0,0,43,0,1,21,0,8,0,8,0,White
1,0,0,40,0,0,33,0,8,2,2,3,White
1,0,0,48,0,0,58,0,2,0,7,2,Black
1,0,0,40,0,0,42,5,9,0,9,2,White
1,0,0,40,0,0,21,0,9,2,6,5,White
1,0,0,42,0,0,24,0,9,2,7,3,White
1,0,0,43,20,0,41,0,1,0,2,2,White
1,0,0,40,0,1,69,0,9,0,5,2,White
1,0,0,30,0,0,28,1,9,2,5,1,White
0,0,0,40,0,0,36,0,8,3,3,3,White
1,0,0,40,0,0,33,0,8,0,6,2,Amer-Indian-Eskimo
1,0,0,40,0,0,24,0,13,2,4,3,White
0,0,0,30,0,0,18,0,8,2,2,3,White
1,0,0,50,0,0,29,0,9,0,1,2,White
1,0,0,20,7,0,24,0,9,2,3,4,Asian-Pac-Islander
0,0,0,40,0,0,26,0,8,2,8,3,White
0,0,0,29,0,0,47,0,15,1,5,5,White
0,0,0,40,0,0,67,0,8,4,8,3,White
1,0,0,40,0,0,22,0,9,2,0,1,White
1,0,0,40,0,0,46,1,4,0,10,2,White
1,0,0,40,0,1,30,5,13,0,4,2,White
0,0,0,40,4,0,33,0,13,2,5,3,White
0,0,0,50,0,0,26,0,13,2,5,3,White
0,0,0,34,0,0,31,0,8,1,3,3,White
